STATE_NAME,STATE_CODE,AGE_GROUP,CAUSE_OF_DEATH,TOTAL_DEATHS,TOTAL_POPULATION
Nevada,32,15-24 years,Motor Vehicle Accidents,41,365218
Massachusetts,25,75-84 years,Cancer,3430,336504
Oklahoma,40,55-64 years,Heart Diseases,1647,493694
Iowa,19,15-24 years,Other Causes,94,436415
Montana,30,35-44 years,COVID-19,16,129795
District of Columbia,11,1-14 years,Other Causes,10,76950
West Virginia,54,85+ years,Heart Diseases,1801,40136
South Dakota,46,45-54 years,COVID-19,51,94865
California,6,85+ years,Stroke,7917,749846
Illinois,17,85+ years,Diabetes,569,266969
Florida,12,65-74 years,COVID-19,4233,2465369
Alabama,1,1-14 years,Motor Vehicle Accidents,33,902823
Minnesota,27,35-44 years,COVID-19,38,725577
North Dakota,38,75-84 years,Other Causes,228,34368
California,6,1-14 years,Other Accidents,172,7391703
Ohio,39,15-24 years,Cancer,51,1507223
Connecticut,9,1-14 years,Other Causes,98,590710
California,6,75-84 years,Cancer,15689,1701599
Indiana,18,25-34 years,Cancer,85,890687
Maine,23,45-54 years,Heart Diseases,109,174730
Utah,49,65-74 years,Influenza & Pneumonia,41,219466
Wisconsin,55,65-74 years,Chronic Respiratory Diseases,684,594748
Montana,30,1-14 years,Other Causes,12,190461
Maine,23,55-64 years,Other Accidents,87,211560
Iowa,19,85+ years,Kidney Disease,182,78674
Vermont,50,65-74 years,Cancer,411,75206
Kentucky,21,75-84 years,Heart Diseases,2732,220820
Alabama,1,85+ years,Kidney Disease,291,91543
Vermont,50,45-54 years,Other Causes,38,78051
Wisconsin,55,1-14 years,Other Causes,280,1044527
Pennsylvania,42,75-84 years,COVID-19,4578,707157
Vermont,50,75-84 years,Other Causes,177,35396
West Virginia,54,45-54 years,Stroke,39,229251
New Mexico,35,35-44 years,Other Causes,331,254846
Tennessee,47,1-14 years,Other Accidents,59,1253286
Louisiana,22,85+ years,Kidney Disease,291,82057
New Jersey,34,35-44 years,Stroke,48,1137693
Vermont,50,35-44 years,Heart Diseases,10,71267
Iowa,19,35-44 years,Heart Diseases,80,385215
South Dakota,46,85+ years,Heart Diseases,821,20985
Utah,49,25-34 years,Motor Vehicle Accidents,41,471806
Minnesota,27,75-84 years,Influenza & Pneumonia,111,266713
Indiana,18,45-54 years,Influenza & Pneumonia,39,824029
Montana,30,65-74 years,Motor Vehicle Accidents,32,124631
Alabama,1,15-24 years,Other Accidents,90,635707
District of Columbia,11,85+ years,Other Causes,222,12242
Connecticut,9,85+ years,Diabetes,218,91330
Iowa,19,55-64 years,Kidney Disease,47,415696
Montana,30,45-54 years,Other Causes,105,117800
Oregon,41,55-64 years,Heart Diseases,740,538950
