COUNTY_CODE,FORECAST_WEEK,FORECAST_CASES,FORECAST_DEATHS,FORECAST_IND
25017,1/1/2022,1000,50,0
25017,1/8/2022,1050,60,0
25017,1/15/2022,1100,70,0
25017,1/22/2022,1200,80,0
25017,01/29/2022,1400,90,0
25017,2/5/2022,1600,100,0
25017,2/12/2022,1500,110,0
25017,2/19/2022,1800,80,0
25017,2/26/2022,1600,90,0
25017,3/5/2022,1700,70,0
25017,3/12/2022,1900,60,0
25017,3/19/2022,1780,40,0
25017,3/26/2022,1800,80,0
25017,4/2/2022,1200,90,0
25017,4/9/2022,1900,70,0
25017,4/16/2022,1500,80,0
25017,4/23/2022,1600,80,1
25017,4/30/2022,1800,70,1
25017,5/7/2022,1900,60,1
25017,5/14/2022,2000,50,1
