state_fips,county_fips,total_population,male_population,female_population,male_0_to_17,male_18_to_49,male_50_to_64,male_over_65,female_0_to_17,female_18_to_49,female_50_to_64,female_over_65,total_0_to_17,total_18_to_49,total_50_to_64,total_over_65,FIPS
17,051,21565,11469,10096,2295,4875,2992,1864,2159,3649,2633,2194,4454,8524,5625,4058,17051
17,107,29003,14298,14705,2877,6258,3652,2248,2730,6099,3735,2976,5607,12357,7387,5224,17107
17,165,23994,11807,12187,2759,4499,3216,2103,2437,4418,3341,2682,5196,8917,6557,4785,17165
17,097,701473,350466,351007,87662,147624,87727,43532,83884,139820,92049,52807,171546,287444,179776,96339,17097
17,127,14219,6714,7505,1495,2517,1757,1268,1709,2561,1974,1694,3204,5078,3731,2962,17127
17,017,12493,6236,6257,1597,2384,1683,972,1446,2382,1631,1184,3043,4766,3314,2156,17017
18,069,36359,17919,18440,3954,7420,4866,2661,3877,7117,5032,3467,7831,14537,9898,6128,18069
18,181,24149,12063,12086,2896,4455,3374,2176,2754,4132,3487,2535,5650,8587,6861,4711,18181
18,075,20840,10452,10388,2793,3923,2628,1591,2486,3805,2606,2024,5279,7728,5234,3615,18075
18,145,44438,21874,22564,5129,8539,6145,3326,5005,8495,6285,4074,10134,17034,12430,7400,18145
18,153,20730,11076,9654,2100,5125,2837,1600,1977,3661,2563,1977,4077,8786,5400,3577,18153
18,157,191553,97798,93755,20001,55056,16850,9273,19459,47961,18170,12049,39460,103017,35020,21322,18157
18,057,323117,157702,165415,45053,66563,35741,16990,43497,69656,38275,21372,88550,136219,74016,38362,18057
18,005,82481,41170,41311,9957,17890,9604,5798,9814,16453,9978,7436,19771,34343,19582,13234,18005
18,049,20096,9903,10193,2385,3731,2641,1671,2349,3590,2810,2128,4734,7321,5451,3799,18049
18,113,47506,23872,23634,6204,9421,6252,3263,5784,8994,6076,3970,11988,18415,12328,7233,18113
18,019,116507,56860,59647,13488,24413,14351,7636,12946,24381,15197,10313,26434,48794,29548,17949,18019
18,063,163799,81767,82032,21155,35413,19081,9549,20257,33516,20021,12279,41412,68929,39102,21828,18063
18,053,66452,31695,34757,6944,12630,8555,5401,6863,13833,8942,7005,13807,26463,17497,12406,18053
18,071,44025,21842,22183,5568,8960,5121,3102,5213,8567,5520,3876,10781,17527,10641,6978,18071
18,119,20835,10636,10199,2249,3774,3373,1921,2167,3522,3375,2029,4416,7296,6748,3950,18119
18,183,33730,16755,16975,4020,6418,4602,2615,3778,6141,4748,3328,7798,12559,9350,5943,18183
